row_id,subject_id,subject,profession_en,profession_tr,birthplace_en,birthplace_tr,residence_en,residence_tr,field_of_study_en,field_of_study_tr,works_in_industry_en,works_in_industry_tr,name_type,name_rarity_bucket,popularity_rank,popularity_bucket,profession_frequency_bucket,birthplace_frequency_bucket,residence_frequency_bucket,field_of_study_frequency_bucket,works_in_industry_frequency_bucket,branch_group
R00057,S00057,Rosmunda Webber,Notary,Noter,Bakersfield,Bakersfield,Gaziantep,Gaziantep,economics,ekonomi,waste,atık,english_like,rare,3711,low,low,low,low,low,low,A
R00058,S00058,Shani Farris,Cleaner,Temizlik görevlisi,Bursa,Bursa,Oakland,Oakland,diplomacy,diplomasi,groceries,gıda,english_like,rare,4996,low,low,low,low,low,low,A
R00059,S00059,Mümtaz Özdemirkıran,University professor,Üniversite profesörü,Louisville/Jefferson County,Louisville/Jefferson County,New Orleans,New Orleans,geography,coğrafya,arts,sanat,turkish_like,common,2639,low,low,low,low,low,low,A
R00060,S00060,Sebahat Yadigaroğlu,Gardener,Bahçıvan,Hatay,Hatay,Aydin,Aydın,fiscal studies,maliye,architecture,mimarlık,turkish_like,common,4556,low,low,low,low,low,low,B
R00061,S00061,Bessy Davenport,Photographer,Fotoğrafçı,Newark,Newark,Minneapolis,Minneapolis,diplomacy,diplomasi,consulting,strateji,english_like,common,342,high,high,medium,medium,high,high,B
R00062,S00062,Emiş Eryılmaz,Politician,Politikacı,Afyonkarahisar,Afyonkarahisar,Van,Van,tourism,turizm,media,medya,turkish_like,medium,147,high,high,medium,medium,high,high,A
R00063,S00063,Fevziye Erge,Marketing specialist,Pazarlama uzmanı,El Paso,El Paso,Durham,Durham,accounting,muhasebe,security,güvenlik,turkish_like,common,2082,low,low,low,low,low,low,B
R00064,S00064,Clio French,Hairdresser,Kuaför,Istanbul,İstanbul,Chandler,Chandler,geography,coğrafya,pharmaceuticals,ilaç,english_like,common,1861,medium,medium,low,low,medium,medium,B
R00065,S00065,Ayşegül Arkan,Bartender,Barmen,Van,Van,Mugla,Muğla,management,yönetim,research,bilim,turkish_like,common,4534,low,low,low,low,low,low,A
R00066,S00066,Corliss Collier,Psychologist,Psikolog,Denizli,Denizli,Kocaeli,Kocaeli,marketing,pazarlama,arts,sanat,english_like,common,1919,medium,medium,low,low,medium,medium,A
R00067,S00067,Abdulaziz Sarıkaya,Computer engineer,Bilgisayar mühendisi,San Diego,San Diego,Dallas,Dallas,dental studies,diş,energy,enerji,turkish_like,rare,684,medium,medium,low,low,medium,medium,A
R00068,S00068,Aylia Erginel,Wedding planner,Düğün planlayıcısı,Antalya,Antalya,Denizli,Denizli,literature,edebiyat,healthcare,tıp,turkish_like,medium,3350,low,low,low,low,low,low,A
R00069,S00069,Eser Dayangaç,Software engineer,Yazılım mühendisi,Kayseri,Kayseri,Diyarbakir,Diyarbakır,electricity,elektrik,software,teknoloji,turkish_like,rare,1131,medium,medium,low,low,medium,medium,A
R00070,S00070,Birsen Başer,Veterinarian,Veteriner,Irvine,Irvine,Albuquerque,Albuquerque,politics,siyaset,groceries,gıda,turkish_like,common,1506,medium,medium,low,low,medium,medium,A
R00071,S00071,Rosmunda Hartley,Train driver,Tren makinisti,Konya,Konya,Izmir,İzmir,law,hukuk,property,emlak,english_like,rare,3488,low,low,low,low,low,low,B
R00072,S00072,Chantal Barrett,Paramedic,Paramedik,Lincoln,Lincoln,Corpus Christi,Corpus Christi,cultural analysis,sosyal,law,hukuk,english_like,common,2516,low,low,low,low,low,low,A
R00073,S00073,Zafer Tüfekçi,Taxi driver,Taksi şoförü,St. Paul,St. Paul,Tulsa,Tulsa,teaching,didaktik,law,hukuk,turkish_like,common,3021,low,low,low,low,low,low,A
R00074,S00074,Kadir Başar,Musician,Müzisyen,Manisa,Manisa,Istanbul,İstanbul,law,hukuk,trade,ticaret,turkish_like,medium,623,medium,medium,low,low,medium,medium,A
R00075,S00075,Başak Erden,Meteorologist,Meteorolog,Tekirdag,Tekirdağ,Ankara,Ankara,linguistics,dilbilim,fabrication,imalat,turkish_like,common,4370,low,low,low,low,low,low,A
R00076,S00076,Melisenda Stein,Lifeguard,Cankurtaran,St. Louis,St. Louis,Long Beach,Long Beach,history,tarih,space,uzay,english_like,medium,4894,low,low,low,low,low,low,A
R00077,S00077,Rodina Hollingsworth,Warehouse manager,Depo yöneticisi,Omaha,Omaha,Norfolk,Norfolk,architecture,mimarlık,insurance,sigorta,english_like,rare,4517,low,low,low,low,low,low,B
R00078,S00078,Mireille Monroe,Architect,Mimar,Manisa,Manisa,Eskisehir,Eskişehir,nursing,hemşirelik,government,kamu,english_like,medium,1332,medium,medium,low,low,medium,medium,A
R00079,S00079,Sibel Sağır,Caregiver,Hasta bakıcı,Gaziantep,Gaziantep,Tampa,Tampa,ecology,ekoloji,investment,yatirim,turkish_like,rare,4410,low,low,low,low,low,low,B
R00080,S00080,Blanche Williamson,Social media manager,Sosyal medya yöneticisi,Nashville-Davidson,Nashville-Davidson,Kayseri,Kayseri,agriculture,tarım,timber,orman,english_like,common,1555,medium,medium,low,low,medium,medium,A
R00081,S00081,Zerrin Etleç,Garbage collector,Çöp toplama görevlisi,Pittsburgh,Pittsburgh,Hialeah,Hialeah,music,müzik,automotive,otomotiv,turkish_like,medium,4793,low,low,low,low,low,low,A
R00082,S00082,Recep Paksoy,Secretary,Sekreter,Madison,Madison,Columbus,Columbus,chemistry,kimya,accounting,muhasebe,turkish_like,rare,3144,low,low,low,low,low,low,B
R00083,S00083,Nejdet Ayduğan,Event planner,Etkinlik organizatörü,Cleveland,Cleveland,Fremont,Fremont,computing,bilişim,hotels,otel,turkish_like,medium,1844,medium,medium,low,low,medium,medium,A
R00084,S00084,Audrie Flanagan,Dentist,Diş hekimi,Antalya,Antalya,Mersin,Mersin,fiscal studies,maliye,fabrication,imalat,english_like,medium,2234,low,low,low,low,low,low,A
R00085,S00085,Charlena Ortega,Mobile application developer,Mobil uygulama geliştiricisi,Gaziantep,Gaziantep,Diyarbakir,Diyarbakır,history,tarih,automotive,otomotiv,english_like,common,3138,low,low,low,low,low,low,A
R00086,S00086,Güliz Köksoy,Waiter,Garson,Kayseri,Kayseri,Sanliurfa,Şanlıurfa,theatre,tiyatro,books,yayın,turkish_like,common,4012,low,low,low,low,low,low,B
R00087,S00087,Blanche Pritchett,Investment banker,Yatırım bankacısı,Orlando,Orlando,Aydin,Aydın,psychology,psikoloji,railways,demiryolu,english_like,medium,1539,medium,medium,low,low,medium,medium,B
R00088,S00088,Charlena Cornelius,Agricultural worker,Tarım işçisi,Izmir,İzmir,Trabzon,Trabzon,data analytics,veri bilimi,research,bilim,english_like,rare,4931,low,low,low,low,low,low,B
R00089,S00089,Colette Peterson,Psychiatrist,Psikiyatrist,Jersey City,Jersey City,Anchorage,Anchorage,social care,bakım,catering,yemek,english_like,common,1542,medium,medium,low,low,medium,medium,B
R00090,S00090,Mediha Kayacan,Construction worker,İnşaat işçisi,Fort Wayne,Fort Wayne,Fresno,Fresno,marketing,pazarlama,space,uzay,turkish_like,common,4565,low,low,low,low,low,low,A
R00091,S00091,Gülay Gökalp,Plumber,Tesisatçı,Sacramento,Sacramento,Oklahoma City,Oklahoma City,pharmacy,ilaç,maritime,deniz,turkish_like,common,4699,low,low,low,low,low,low,B
R00092,S00092,Hasan Oflaz,Bricklayer,Duvar ustası,Trabzon,Trabzon,Ankara,Ankara,mechanics,mekanik,banking,finans,turkish_like,common,4874,low,low,low,low,low,low,A
R00093,S00093,Becka Emerson,Pilates instructor,Pilates eğitmeni,Aydin,Aydın,Gaziantep,Gaziantep,statistics,istatistik,recreation,egzersiz,english_like,medium,4361,low,low,low,low,low,low,B
R00094,S00094,Tarkan Dilli,Dishwasher,Bulaşıkçı,Bursa,Bursa,Sanliurfa,Şanlıurfa,film studies,sinema,construction,inşaat,turkish_like,common,4597,low,low,low,low,low,low,B
R00095,S00095,Aydemir Ürün,Radio presenter,Radyo sunucusu,Riverside,Riverside,Ankara,Ankara,logistics,lojistik,biotech,biyoloji,turkish_like,rare,1411,medium,medium,low,low,medium,medium,A
R00096,S00096,Aurelea Stone,Statistician,İstatistikçi,Mersin,Mersin,Konya,Konya,exercise science,hareket,extraction,maden,english_like,common,3857,low,low,low,low,low,low,B
R00097,S00097,Arly Martin,Doctor,Doktor,Bursa,Bursa,Antalya,Antalya,medicine,tıp,investment,yatirim,english_like,common,478,high,high,medium,medium,high,high,A
R00098,S00098,Tamiko Cornell,Comedian,Komedyen,Konya,Konya,Mersin,Mersin,tourism,turizm,retail,perakende,english_like,rare,1806,medium,medium,low,low,medium,medium,B
R00099,S00099,İsmail Karaköse,Banker,Bankacı,Memphis,Memphis,Atlanta,Atlanta,cultural analysis,sosyal,catering,yemek,turkish_like,common,3929,low,low,low,low,low,low,A
R00100,S00100,Clarie Irvin,Renewable energy engineer,Yenilenebilir enerji mühendisi,North Las Vegas,North Las Vegas,Raleigh,Raleigh,construction,inşaat,fashion,moda,english_like,medium,4197,low,low,low,low,low,low,B
R00101,S00101,Shannen Huff,Painter,Boyacı,Louisville/Jefferson County,Louisville/Jefferson County,Lincoln,Lincoln,law,hukuk,tourism,turizm,english_like,rare,4890,low,low,low,low,low,low,B
R00102,S00102,Danila Goff,Advertising professional,Reklamcı,Phoenix,Phoenix,Stockton,Stockton,tourism,turizm,property,emlak,english_like,medium,3128,low,low,low,low,low,low,A
R00103,S00103,Nizamettin Etleç,Teacher,Öğretmen,Sakarya,Sakarya,Austin,Austin,mechanics,mekanik,extraction,maden,turkish_like,rare,1499,medium,medium,low,low,medium,medium,A
R00104,S00104,Astrid Coffey,Stock trader,Borsa yatırımcısı,Samsun,Samsun,Diyarbakir,Diyarbakır,logistics,lojistik,engineering,teknik,english_like,medium,2327,low,low,low,low,low,low,A
R00105,S00105,Leeanne Goddard,Tennis player,Tenisçi,Portland,Portland,Hatay,Hatay,fiscal studies,maliye,automotive,otomotiv,english_like,rare,907,medium,medium,low,low,medium,medium,B
R00106,S00106,Nezih Ercan,Geologist,Jeolog,Gaziantep,Gaziantep,Eskisehir,Eskişehir,business,işletme,advertising,reklam,turkish_like,common,3894,low,low,low,low,low,low,A
R00107,S00107,Nalan Örnek,Lawyer,Avukat,Henderson,Henderson,Arlington,Arlington,history,tarih,recreation,egzersiz,turkish_like,common,860,medium,medium,low,low,medium,medium,B
R00108,S00108,Atilla Daylak,Artificial intelligence specialist,Yapay zekâ uzmanı,Konya,Konya,Ankara,Ankara,literature,edebiyat,fashion,moda,turkish_like,rare,929,medium,medium,low,low,medium,medium,B
R00109,S00109,Esin Uyanık,Hotel manager,Otel müdürü,North Las Vegas,North Las Vegas,San Francisco,San Francisco,dental studies,diş,government,kamu,turkish_like,common,2558,low,low,low,low,low,low,B
R00110,S00110,Zerrin Kulaç,Interior architect,İç mimar,Mugla,Muğla,Balikesir,Balıkesir,politics,siyaset,retail,perakende,turkish_like,common,2158,low,low,low,low,low,low,B
R00111,S00111,Sinan İlkay,Insurance advisor,Sigorta danışmanı,Chesapeake,Chesapeake,Seattle,Seattle,nursing,hemşirelik,architecture,mimarlık,turkish_like,common,2120,low,low,low,low,low,low,B
R00112,S00112,Avie Douglas,Landscape architect,Peyzaj mimarı,Oakland,Oakland,Albuquerque,Albuquerque,chemistry,kimya,engineering,teknik,english_like,common,4215,low,low,low,low,low,low,B
R00113,S00113,Münever Kuyucu,Factory worker,Fabrika işçisi,Milwaukee,Milwaukee,Lexington-Fayette,Lexington-Fayette,fiscal studies,maliye,entertainment,eğlence,turkish_like,common,4899,low,low,low,low,low,low,A
R00114,S00114,Türker Balsak,Travel agent,Seyahat acentesi danışmanı,Sanliurfa,Şanlıurfa,Balikesir,Balıkesir,history,tarih,catering,yemek,turkish_like,rare,2843,low,low,low,low,low,low,B
R00115,S00115,Zafer Özdemir,Industrial designer,Endüstriyel tasarımcı,Izmir,İzmir,Diyarbakir,Diyarbakır,archaeology,arkeoloji,media,medya,turkish_like,common,2073,low,low,low,low,low,low,B
R00116,S00116,Tuğsem Sari,Project manager,Proje yöneticisi,Manisa,Manisa,Malatya,Malatya,biology,biyoloji,recreation,egzersiz,turkish_like,common,3211,low,low,low,low,low,low,A
R00117,S00117,Şükrü Yenidünya,Model,Model,Istanbul,İstanbul,Balikesir,Balıkesir,ecology,ekoloji,timber,orman,turkish_like,common,310,high,high,medium,medium,high,high,B
R00118,S00118,Kriste Sullivan,Public relations specialist,Halkla ilişkiler uzmanı,San Diego,San Diego,Manisa,Manisa,medicine,tıp,construction,inşaat,english_like,medium,1848,medium,medium,low,low,medium,medium,A
R00119,S00119,Ümit Akbulut,DJ,DJ,Istanbul,İstanbul,Manisa,Manisa,film studies,sinema,consulting,strateji,turkish_like,common,805,medium,medium,low,low,medium,medium,A
R00120,S00120,Aaren Davenport,Entrepreneur,Girişimci,Long Beach,Long Beach,Houston,Houston,psychology,psikoloji,accounting,muhasebe,english_like,common,187,high,high,medium,medium,high,high,A
R00121,S00121,Querida Moon,Bus driver,Otobüs şoförü,Stockton,Stockton,Detroit,Detroit,theatre,tiyatro,infrastructure,altyapı,english_like,rare,4070,low,low,low,low,low,low,A
R00122,S00122,Coşkun Eren,Assembly line worker,Montaj işçisi,Baton Rouge,Baton Rouge,Reno,Reno,electricity,elektrik,insurance,sigorta,turkish_like,common,4525,low,low,low,low,low,low,A
R00123,S00123,Hasret Develi,Prosecutor,Savcı,Long Beach,Long Beach,Tampa,Tampa,software,programlama,academia,akademi,turkish_like,rare,1579,medium,medium,low,low,medium,medium,B
R00124,S00124,Samet Olgen,Sociologist,Sosyolog,Sakarya,Sakarya,Istanbul,İstanbul,chemistry,kimya,insurance,sigorta,turkish_like,medium,4153,low,low,low,low,low,low,A
R00125,S00125,Krystyna Lara,Management consultant,Yönetim danışmanı,Istanbul,İstanbul,Aydin,Aydın,cultural analysis,sosyal,trade,ticaret,english_like,medium,3256,low,low,low,low,low,low,B
R00126,S00126,Türker Binboğa,Radiology technician,Radyoloji teknisyeni,Kayseri,Kayseri,Hatay,Hatay,logistics,lojistik,maritime,deniz,turkish_like,medium,4685,low,low,low,low,low,low,B
R00127,S00127,Türker Düzel,Racing driver,Otomobil yarışçısı,Antalya,Antalya,Konya,Konya,linguistics,dilbilim,space,uzay,turkish_like,rare,788,medium,medium,low,low,medium,medium,B
R00128,S00128,Ökkeş Durmaz,Laboratory technician,Laboratuvar teknisyeni,Corpus Christi,Corpus Christi,New York,New York,psychology,psikoloji,books,yayın,turkish_like,rare,4689,low,low,low,low,low,low,B
R00129,S00129,Şermin Ceylan,Economist,Ekonomist,Manisa,Manisa,Kahramanmaras,Kahramanmaraş,architecture,mimarlık,communications,telekom,turkish_like,medium,987,medium,medium,low,low,medium,medium,B
R00130,S00130,Clarissa Mathis,Fashion stylist,Moda stilisti,Kocaeli,Kocaeli,Istanbul,İstanbul,computing,bilişim,space,uzay,english_like,common,4013,low,low,low,low,low,low,B
R00131,S00131,Hüseyin Duruk,Yoga instructor,Yoga eğitmeni,Kocaeli,Kocaeli,Gaziantep,Gaziantep,marketing,pazarlama,hotels,otel,turkish_like,rare,4859,low,low,low,low,low,low,B
R00132,S00132,Barbara-Anne Cain,Voice actor,Seslendirme sanatçısı,Phoenix,Phoenix,Fort Wayne,Fort Wayne,accounting,muhasebe,software,teknoloji,english_like,common,2574,low,low,low,low,low,low,A
R00133,S00133,Romona Good,Historian,Tarihçi,Malatya,Malatya,Samsun,Samsun,forestry,ormanlar,government,kamu,english_like,rare,3413,low,low,low,low,low,low,A
R00134,S00134,Tessy Huffman,Sailor,Denizci,Tampa,Tampa,Houston,Houston,geography,coğrafya,maritime,deniz,english_like,rare,2888,low,low,low,low,low,low,A
R00135,S00135,Chicky Roth,Physicist,Fizikçi,Mugla,Muğla,Chesapeake,Chesapeake,animal care,hayvan,energy,enerji,english_like,common,1753,medium,medium,low,low,medium,medium,A
R00136,S00136,Halime Özdamar,Web designer,Web tasarımcısı,Hatay,Hatay,Philadelphia,Philadelphia,quantitative methods,matematik,chemicals,kimya,turkish_like,rare,3812,low,low,low,low,low,low,A
R00137,S00137,Nonah Lott,Emergency medical technician,Acil tıp teknisyeni,Izmir,İzmir,Mardin,Mardin,media studies,basın,advertising,reklam,english_like,rare,2322,low,low,low,low,low,low,A
R00138,S00138,Kubilay Kottaş,Researcher,Araştırmacı,San Francisco,San Francisco,Reno,Reno,diplomacy,diplomasi,software,teknoloji,turkish_like,medium,2425,low,low,low,low,low,low,B
