subject_id,subject,block_id,field_of_study_en,field_of_study_tr,field_source_taxonomy,field_source_category,works_in_industry_en,works_in_industry_tr,industry_source_taxonomy,industry_source_category,profession_category,branch_group,name_type,name_rarity_bucket,popularity_bucket,field_seed,industry_seed,industry_repair_swaps
S00034,Barbee Winters,B01,forestry,ormanlar,ISCED-F 2013,0821 Forestry,healthcare,tıp,NACE Rev. 2.1,Q Human health and social work activities,research,A,english_like,common,high,2026071101,2026071102,6
S00035,Belita Lambert,B01,chemistry,kimya,ISCED-F 2013,0531 Chemistry,maritime,deniz,NACE Rev. 2.1,H50 Water transport,general,A,english_like,common,medium,2026071101,2026071102,6
S00036,Corine Lynch,B01,quantitative methods,matematik,ISCED-F 2013,0541 Mathematics,farming,tarım,NACE Rev. 2.1,A Agriculture forestry and fishing,general,B,english_like,common,low,2026071101,2026071102,6
S00037,Uygar Selvan,B01,medicine,tıp,ISCED-F 2013,0912 Medicine,entertainment,eğlence,NACE Rev. 2.1,R90 Creative arts and entertainment,sports,B,turkish_like,rare,low,2026071101,2026071102,6
S00038,Rahime Bayram,B01,software,programlama,ISCED-F 2013,0613 Software and applications development,advertising,reklam,NACE Rev. 2.1,M73 Advertising and market research,entertainment,B,turkish_like,medium,high,2026071101,2026071102,6
S00039,Nagihan Avcı,B01,anthropology,antropoloji,ISCED-F 2013,0314 Sociology and cultural studies,government,kamu,NACE Rev. 2.1,O Public administration and defence,general,B,turkish_like,common,low,2026071101,2026071102,6
S00040,Semih Kayaalp,B01,media studies,basın,ISCED-F 2013,0321 Journalism and reporting,airlines,uçuş,NACE Rev. 2.1,H51 Air transport,general,A,turkish_like,medium,low,2026071101,2026071102,6
S00041,Ayhan Ünüş,B01,communication,medya,ISCED-F 2013,0321 Journalism and reporting,timber,orman,NACE Rev. 2.1,A Agriculture forestry and fishing,general,A,turkish_like,medium,low,2026071101,2026071102,6
S00042,Corabella Sandoval,B01,music,müzik,ISCED-F 2013,0215 Music and performing arts,hotels,otel,NACE Rev. 2.1,I Accommodation and food service activities,retail,A,english_like,common,low,2026071101,2026071102,6
S00043,Gonca Berk,B01,architecture,mimarlık,ISCED-F 2013,0731 Architecture and town planning,logistics,lojistik,NACE Rev. 2.1,H52 Warehousing and support activities for transportation,general,A,turkish_like,common,low,2026071101,2026071102,6
S00044,Loren Logan,B01,pharmacy,ilaç,ISCED-F 2013,0916 Pharmacy,books,yayın,NACE Rev. 2.1,J58 Publishing activities,general,A,english_like,medium,medium,2026071101,2026071102,6
S00045,Nuray Şanlıer,B01,agriculture,tarım,ISCED-F 2013,0811 Crop and livestock production,gaming,oyun,NACE Rev. 2.1,J58 Publishing of computer games,general,A,turkish_like,medium,low,2026071101,2026071102,6
S00046,Bliss Hall,B01,design,dizayn,ISCED-F 2013,0212 Fashion interior and industrial design,accounting,muhasebe,NACE Rev. 2.1,M69 Legal and accounting activities,general,A,english_like,common,low,2026071101,2026071102,6
S00047,Bernete Romero,B01,construction,inşaat,ISCED-F 2013,0732 Building and civil engineering,insurance,sigorta,NACE Rev. 2.1,K65 Insurance and pension funding,general,A,english_like,common,medium,2026071101,2026071102,6
S00048,Beilul Andrews,B01,communication,medya,ISCED-F 2013,0321 Journalism and reporting,tourism,turizm,NACE Rev. 2.1,N79 Travel agency and tour operator activities,media,B,english_like,common,medium,2026071101,2026071102,6
S00049,Rennie Frederick,B01,design,dizayn,ISCED-F 2013,0212 Fashion interior and industrial design,logistics,lojistik,NACE Rev. 2.1,H52 Warehousing and support activities for transportation,finance,B,english_like,rare,low,2026071101,2026071102,6
S00050,Tuğsem Demiray,B01,archaeology,arkeoloji,ISCED-F 2013,0222 History and archaeology,welfare,refah,NACE Rev. 2.1,Q88 Social work activities,general,A,turkish_like,common,low,2026071101,2026071102,6
S00051,Nazım Özel,B01,forestry,ormanlar,ISCED-F 2013,0821 Forestry,academia,akademi,NACE Rev. 2.1,P Education,general,B,turkish_like,common,low,2026071101,2026071102,6
S00052,Donica Phelps,B01,teaching,didaktik,ISCED-F 2013,0111 Education science,chemicals,kimya,NACE Rev. 2.1,C20 Manufacture of chemicals,general,A,english_like,medium,medium,2026071101,2026071102,6
S00053,Hande Aytekin,B01,data analytics,veri bilimi,ISCED-F 2013,0613 Software and applications development,fashion,moda,NACE Rev. 2.1,C14 Manufacture of wearing apparel,general,A,turkish_like,common,low,2026071101,2026071102,6
S00054,Gürkan Köseoğlu,B01,quantitative methods,matematik,ISCED-F 2013,0541 Mathematics,infrastructure,altyapı,NACE Rev. 2.1,D-E Utilities and waste services,finance,A,turkish_like,common,medium,2026071101,2026071102,6
S00055,Marjy Rangel,B01,biology,biyoloji,ISCED-F 2013,0511 Biology,infrastructure,altyapı,NACE Rev. 2.1,D-E Utilities and waste services,general,B,english_like,medium,low,2026071101,2026071102,6
S00056,Charlotte Sutton,B01,literature,edebiyat,ISCED-F 2013,0232 Literature and linguistics,gaming,oyun,NACE Rev. 2.1,J58 Publishing of computer games,sports,A,english_like,common,high,2026071101,2026071102,6
S00057,Rosmunda Webber,B01,economics,ekonomi,ISCED-F 2013,0311 Economics,waste,atık,NACE Rev. 2.1,E38 Waste collection treatment and materials recovery,general,A,english_like,rare,low,2026071101,2026071102,6
S00058,Shani Farris,B01,diplomacy,diplomasi,ISCED-F 2013,0312 Political sciences and civics,groceries,gıda,NACE Rev. 2.1,C10 Manufacture of food products,manual_labor,A,english_like,rare,low,2026071101,2026071102,6
S00059,Mümtaz Özdemirkıran,B01,geography,coğrafya,ISCED-F 2013,0532 Earth sciences,arts,sanat,NACE Rev. 2.1,R90 Creative arts and entertainment,education,A,turkish_like,common,low,2026071101,2026071102,6
S00060,Sebahat Yadigaroğlu,B01,fiscal studies,maliye,ISCED-F 2013,0412 Finance banking and insurance,architecture,mimarlık,NACE Rev. 2.1,M71 Architectural and engineering activities,general,B,turkish_like,common,low,2026071101,2026071102,6
S00061,Bessy Davenport,B01,diplomacy,diplomasi,ISCED-F 2013,0312 Political sciences and civics,consulting,strateji,NACE Rev. 2.1,M70 Management consultancy activities,general,B,english_like,common,high,2026071101,2026071102,6
S00062,Emiş Eryılmaz,B01,tourism,turizm,ISCED-F 2013,1015 Travel tourism and leisure,media,medya,NACE Rev. 2.1,J60 Programming and broadcasting,public_service,A,turkish_like,medium,high,2026071101,2026071102,6
S00063,Fevziye Erge,B01,accounting,muhasebe,ISCED-F 2013,0411 Accounting and taxation,security,güvenlik,NACE Rev. 2.1,N80 Security and investigation activities,general,B,turkish_like,common,low,2026071101,2026071102,6
S00064,Clio French,B01,geography,coğrafya,ISCED-F 2013,0532 Earth sciences,pharmaceuticals,ilaç,NACE Rev. 2.1,C21 Manufacture of pharmaceutical products,general,B,english_like,common,medium,2026071101,2026071102,6
S00065,Ayşegül Arkan,B01,management,yönetim,ISCED-F 2013,0413 Management and administration,research,bilim,NACE Rev. 2.1,M72 Scientific research and development,general,A,turkish_like,common,low,2026071101,2026071102,6
S00066,Corliss Collier,B01,marketing,pazarlama,ISCED-F 2013,0414 Marketing and advertising,arts,sanat,NACE Rev. 2.1,R90 Creative arts and entertainment,general,A,english_like,common,medium,2026071101,2026071102,6
S00067,Abdulaziz Sarıkaya,B01,dental studies,diş,ISCED-F 2013,0911 Dental studies,energy,enerji,NACE Rev. 2.1,D Electricity gas steam and air conditioning supply,engineering,A,turkish_like,rare,medium,2026071101,2026071102,6
S00068,Aylia Erginel,B01,literature,edebiyat,ISCED-F 2013,0232 Literature and linguistics,healthcare,tıp,NACE Rev. 2.1,Q Human health and social work activities,general,A,turkish_like,medium,low,2026071101,2026071102,6
S00069,Eser Dayangaç,B01,electricity,elektrik,ISCED-F 2013,0713 Electricity and energy,software,teknoloji,NACE Rev. 2.1,J62 Computer programming and consultancy,technology,A,turkish_like,rare,medium,2026071101,2026071102,6
S00070,Birsen Başer,B01,politics,siyaset,ISCED-F 2013,0312 Political sciences and civics,groceries,gıda,NACE Rev. 2.1,C10 Manufacture of food products,general,A,turkish_like,common,medium,2026071101,2026071102,6
S00071,Rosmunda Hartley,B01,law,hukuk,ISCED-F 2013,0421 Law,property,emlak,NACE Rev. 2.1,L Real estate activities,logistics,B,english_like,rare,low,2026071101,2026071102,6
S00072,Chantal Barrett,B01,cultural analysis,sosyal,ISCED-F 2013,0314 Sociology and cultural studies,law,hukuk,NACE Rev. 2.1,M69 Legal and accounting activities,general,A,english_like,common,low,2026071101,2026071102,6
S00073,Zafer Tüfekçi,B01,teaching,didaktik,ISCED-F 2013,0111 Education science,law,hukuk,NACE Rev. 2.1,M69 Legal and accounting activities,logistics,A,turkish_like,common,low,2026071101,2026071102,6
S00074,Kadir Başar,B01,law,hukuk,ISCED-F 2013,0421 Law,trade,ticaret,NACE Rev. 2.1,G46 Wholesale trade,entertainment,A,turkish_like,medium,medium,2026071101,2026071102,6
S00075,Başak Erden,B01,linguistics,dilbilim,ISCED-F 2013,0232 Literature and linguistics,fabrication,imalat,NACE Rev. 2.1,C Manufacturing,general,A,turkish_like,common,low,2026071101,2026071102,6
S00076,Melisenda Stein,B01,history,tarih,ISCED-F 2013,0222 History and archaeology,space,uzay,NACE Rev. 2.1,C30 Manufacture of other transport equipment,general,A,english_like,medium,low,2026071101,2026071102,6
S00077,Rodina Hollingsworth,B01,architecture,mimarlık,ISCED-F 2013,0731 Architecture and town planning,insurance,sigorta,NACE Rev. 2.1,K65 Insurance and pension funding,sports,B,english_like,rare,low,2026071101,2026071102,6
S00078,Mireille Monroe,B01,nursing,hemşirelik,ISCED-F 2013,0913 Nursing and midwifery,government,kamu,NACE Rev. 2.1,O Public administration and defence,engineering,A,english_like,medium,medium,2026071101,2026071102,6
S00079,Sibel Sağır,B01,ecology,ekoloji,ISCED-F 2013,0521 Environmental sciences,investment,yatirim,NACE Rev. 2.1,K66 Activities auxiliary to financial services,general,B,turkish_like,rare,low,2026071101,2026071102,6
S00080,Blanche Williamson,B01,agriculture,tarım,ISCED-F 2013,0811 Crop and livestock production,timber,orman,NACE Rev. 2.1,A Agriculture forestry and fishing,sports,A,english_like,common,medium,2026071101,2026071102,6
S00081,Zerrin Etleç,B01,music,müzik,ISCED-F 2013,0215 Music and performing arts,automotive,otomotiv,NACE Rev. 2.1,C29 Manufacture of motor vehicles,general,A,turkish_like,medium,low,2026071101,2026071102,6
S00082,Recep Paksoy,B01,chemistry,kimya,ISCED-F 2013,0531 Chemistry,accounting,muhasebe,NACE Rev. 2.1,M69 Legal and accounting activities,administration,B,turkish_like,rare,low,2026071101,2026071102,6
S00083,Nejdet Ayduğan,B01,computing,bilişim,ISCED-F 2013,0613 Software and applications development,hotels,otel,NACE Rev. 2.1,I Accommodation and food service activities,general,A,turkish_like,medium,medium,2026071101,2026071102,6
S00084,Audrie Flanagan,B01,fiscal studies,maliye,ISCED-F 2013,0412 Finance banking and insurance,fabrication,imalat,NACE Rev. 2.1,C Manufacturing,healthcare,A,english_like,medium,low,2026071101,2026071102,6
S00085,Charlena Ortega,B01,history,tarih,ISCED-F 2013,0222 History and archaeology,automotive,otomotiv,NACE Rev. 2.1,C29 Manufacture of motor vehicles,technology,A,english_like,common,low,2026071101,2026071102,6
S00086,Güliz Köksoy,B01,theatre,tiyatro,ISCED-F 2013,0215 Music and performing arts,books,yayın,NACE Rev. 2.1,J58 Publishing activities,hospitality,B,turkish_like,common,low,2026071101,2026071102,6
S00087,Blanche Pritchett,B01,psychology,psikoloji,ISCED-F 2013,0313 Psychology,railways,demiryolu,NACE Rev. 2.1,H49 Land transport,finance,B,english_like,medium,medium,2026071101,2026071102,6
S00088,Charlena Cornelius,B01,data analytics,veri bilimi,ISCED-F 2013,0613 Software and applications development,research,bilim,NACE Rev. 2.1,M72 Scientific research and development,manual_labor,B,english_like,rare,low,2026071101,2026071102,6
S00089,Colette Peterson,B01,social care,bakım,ISCED-F 2013,0923 Social work and counselling,catering,yemek,NACE Rev. 2.1,I56 Food and beverage service activities,general,B,english_like,common,medium,2026071101,2026071102,6
S00090,Mediha Kayacan,B01,marketing,pazarlama,ISCED-F 2013,0414 Marketing and advertising,space,uzay,NACE Rev. 2.1,C30 Manufacture of other transport equipment,construction,A,turkish_like,common,low,2026071101,2026071102,6
S00091,Gülay Gökalp,B01,pharmacy,ilaç,ISCED-F 2013,0916 Pharmacy,maritime,deniz,NACE Rev. 2.1,H50 Water transport,construction,B,turkish_like,common,low,2026071101,2026071102,6
S00092,Hasan Oflaz,B01,mechanics,mekanik,ISCED-F 2013,0715 Mechanics and metal trades,banking,finans,NACE Rev. 2.1,K64 Financial service activities,general,A,turkish_like,common,low,2026071101,2026071102,6
S00093,Becka Emerson,B01,statistics,istatistik,ISCED-F 2013,0542 Statistics,recreation,egzersiz,NACE Rev. 2.1,R93 Sports activities,general,B,english_like,medium,low,2026071101,2026071102,6
S00094,Tarkan Dilli,B01,film studies,sinema,ISCED-F 2013,0211 Audio-visual techniques and media production,construction,inşaat,NACE Rev. 2.1,F Construction,general,B,turkish_like,common,low,2026071101,2026071102,6
S00095,Aydemir Ürün,B01,logistics,lojistik,ISCED-F 2013,1041 Transport services,biotech,biyoloji,NACE Rev. 2.1,M72 Scientific research and development,media,A,turkish_like,rare,medium,2026071101,2026071102,6
S00096,Aurelea Stone,B01,exercise science,hareket,ISCED-F 2013,1014 Sports,extraction,maden,NACE Rev. 2.1,B Mining and quarrying,general,B,english_like,common,low,2026071101,2026071102,6
S00097,Arly Martin,B01,medicine,tıp,ISCED-F 2013,0912 Medicine,investment,yatirim,NACE Rev. 2.1,K66 Activities auxiliary to financial services,healthcare,A,english_like,common,high,2026071101,2026071102,6
S00098,Tamiko Cornell,B01,tourism,turizm,ISCED-F 2013,1015 Travel tourism and leisure,retail,perakende,NACE Rev. 2.1,G47 Retail trade,entertainment,B,english_like,rare,medium,2026071101,2026071102,6
S00099,İsmail Karaköse,B01,cultural analysis,sosyal,ISCED-F 2013,0314 Sociology and cultural studies,catering,yemek,NACE Rev. 2.1,I56 Food and beverage service activities,finance,A,turkish_like,common,low,2026071101,2026071102,6
S00100,Clarie Irvin,B01,construction,inşaat,ISCED-F 2013,0732 Building and civil engineering,fashion,moda,NACE Rev. 2.1,C14 Manufacture of wearing apparel,engineering,B,english_like,medium,low,2026071101,2026071102,6
S00101,Shannen Huff,B02,law,hukuk,ISCED-F 2013,0421 Law,tourism,turizm,NACE Rev. 2.1,N79 Travel agency and tour operator activities,general,B,english_like,rare,low,2026071101,2026071102,6
S00102,Danila Goff,B02,tourism,turizm,ISCED-F 2013,1015 Travel tourism and leisure,property,emlak,NACE Rev. 2.1,L Real estate activities,general,A,english_like,medium,low,2026071101,2026071102,6
S00103,Nizamettin Etleç,B02,mechanics,mekanik,ISCED-F 2013,0715 Mechanics and metal trades,extraction,maden,NACE Rev. 2.1,B Mining and quarrying,education,A,turkish_like,rare,medium,2026071101,2026071102,6
S00104,Astrid Coffey,B02,logistics,lojistik,ISCED-F 2013,1041 Transport services,engineering,teknik,NACE Rev. 2.1,M71 Architectural and engineering activities,general,A,english_like,medium,low,2026071101,2026071102,6
S00105,Leeanne Goddard,B02,fiscal studies,maliye,ISCED-F 2013,0412 Finance banking and insurance,automotive,otomotiv,NACE Rev. 2.1,C29 Manufacture of motor vehicles,sports,B,english_like,rare,medium,2026071101,2026071102,6
S00106,Nezih Ercan,B02,business,işletme,ISCED-F 2013,0410 Business and administration,advertising,reklam,NACE Rev. 2.1,M73 Advertising and market research,general,A,turkish_like,common,low,2026071101,2026071102,6
S00107,Nalan Örnek,B02,history,tarih,ISCED-F 2013,0222 History and archaeology,recreation,egzersiz,NACE Rev. 2.1,R93 Sports activities,legal,B,turkish_like,common,medium,2026071101,2026071102,6
S00108,Atilla Daylak,B02,literature,edebiyat,ISCED-F 2013,0232 Literature and linguistics,fashion,moda,NACE Rev. 2.1,C14 Manufacture of wearing apparel,general,B,turkish_like,rare,medium,2026071101,2026071102,6
S00109,Esin Uyanık,B02,dental studies,diş,ISCED-F 2013,0911 Dental studies,government,kamu,NACE Rev. 2.1,O Public administration and defence,sports,B,turkish_like,common,low,2026071101,2026071102,6
S00110,Zerrin Kulaç,B02,politics,siyaset,ISCED-F 2013,0312 Political sciences and civics,retail,perakende,NACE Rev. 2.1,G47 Retail trade,engineering,B,turkish_like,common,low,2026071101,2026071102,6
S00111,Sinan İlkay,B02,nursing,hemşirelik,ISCED-F 2013,0913 Nursing and midwifery,architecture,mimarlık,NACE Rev. 2.1,M71 Architectural and engineering activities,general,B,turkish_like,common,low,2026071101,2026071102,6
S00112,Avie Douglas,B02,chemistry,kimya,ISCED-F 2013,0531 Chemistry,engineering,teknik,NACE Rev. 2.1,M71 Architectural and engineering activities,engineering,B,english_like,common,low,2026071101,2026071102,6
S00113,Münever Kuyucu,B02,fiscal studies,maliye,ISCED-F 2013,0412 Finance banking and insurance,entertainment,eğlence,NACE Rev. 2.1,R90 Creative arts and entertainment,entertainment,A,turkish_like,common,low,2026071101,2026071102,6
S00114,Türker Balsak,B02,history,tarih,ISCED-F 2013,0222 History and archaeology,catering,yemek,NACE Rev. 2.1,I56 Food and beverage service activities,general,B,turkish_like,rare,low,2026071101,2026071102,6
S00115,Zafer Özdemir,B02,archaeology,arkeoloji,ISCED-F 2013,0222 History and archaeology,media,medya,NACE Rev. 2.1,J60 Programming and broadcasting,general,B,turkish_like,common,low,2026071101,2026071102,6
S00116,Tuğsem Sari,B02,biology,biyoloji,ISCED-F 2013,0511 Biology,recreation,egzersiz,NACE Rev. 2.1,R93 Sports activities,sports,A,turkish_like,common,low,2026071101,2026071102,6
S00117,Şükrü Yenidünya,B02,ecology,ekoloji,ISCED-F 2013,0521 Environmental sciences,timber,orman,NACE Rev. 2.1,A Agriculture forestry and fishing,entertainment,B,turkish_like,common,high,2026071101,2026071102,6
S00118,Kriste Sullivan,B02,medicine,tıp,ISCED-F 2013,0912 Medicine,construction,inşaat,NACE Rev. 2.1,F Construction,public_service,A,english_like,medium,medium,2026071101,2026071102,6
S00119,Ümit Akbulut,B02,film studies,sinema,ISCED-F 2013,0211 Audio-visual techniques and media production,consulting,strateji,NACE Rev. 2.1,M70 Management consultancy activities,entertainment,A,turkish_like,common,medium,2026071101,2026071102,6
S00120,Aaren Davenport,B02,psychology,psikoloji,ISCED-F 2013,0313 Psychology,accounting,muhasebe,NACE Rev. 2.1,M69 Legal and accounting activities,general,A,english_like,common,high,2026071101,2026071102,6
S00121,Querida Moon,B02,theatre,tiyatro,ISCED-F 2013,0215 Music and performing arts,infrastructure,altyapı,NACE Rev. 2.1,D-E Utilities and waste services,logistics,A,english_like,rare,low,2026071101,2026071102,6
S00122,Coşkun Eren,B02,electricity,elektrik,ISCED-F 2013,0713 Electricity and energy,insurance,sigorta,NACE Rev. 2.1,K65 Insurance and pension funding,manual_labor,A,turkish_like,common,low,2026071101,2026071102,6
S00123,Hasret Develi,B02,software,programlama,ISCED-F 2013,0613 Software and applications development,academia,akademi,NACE Rev. 2.1,P Education,general,B,turkish_like,rare,medium,2026071101,2026071102,6
S00124,Samet Olgen,B02,chemistry,kimya,ISCED-F 2013,0531 Chemistry,insurance,sigorta,NACE Rev. 2.1,K65 Insurance and pension funding,general,A,turkish_like,medium,low,2026071101,2026071102,6
S00125,Krystyna Lara,B02,cultural analysis,sosyal,ISCED-F 2013,0314 Sociology and cultural studies,trade,ticaret,NACE Rev. 2.1,G46 Wholesale trade,general,B,english_like,medium,low,2026071101,2026071102,6
S00126,Türker Binboğa,B02,logistics,lojistik,ISCED-F 2013,1041 Transport services,maritime,deniz,NACE Rev. 2.1,H50 Water transport,engineering,B,turkish_like,medium,low,2026071101,2026071102,6
S00127,Türker Düzel,B02,linguistics,dilbilim,ISCED-F 2013,0232 Literature and linguistics,space,uzay,NACE Rev. 2.1,C30 Manufacture of other transport equipment,logistics,B,turkish_like,rare,medium,2026071101,2026071102,6
S00128,Ökkeş Durmaz,B02,psychology,psikoloji,ISCED-F 2013,0313 Psychology,books,yayın,NACE Rev. 2.1,J58 Publishing activities,engineering,B,turkish_like,rare,low,2026071101,2026071102,6
S00129,Şermin Ceylan,B02,architecture,mimarlık,ISCED-F 2013,0731 Architecture and town planning,communications,telekom,NACE Rev. 2.1,J61 Telecommunications,general,B,turkish_like,medium,medium,2026071101,2026071102,6
S00130,Clarissa Mathis,B02,computing,bilişim,ISCED-F 2013,0613 Software and applications development,space,uzay,NACE Rev. 2.1,C30 Manufacture of other transport equipment,general,B,english_like,common,low,2026071101,2026071102,6
S00131,Hüseyin Duruk,B02,marketing,pazarlama,ISCED-F 2013,0414 Marketing and advertising,hotels,otel,NACE Rev. 2.1,I Accommodation and food service activities,general,B,turkish_like,rare,low,2026071101,2026071102,6
