fact_id,subject_id,relation,subject,question,expected_answer,template_id
S00063_field_of_study,S00063,field_of_study,Fevziye Erge,Fevziye Erge studied,accounting,field_of_study_en_scale_500_exact_prefix
S00063_works_in_industry,S00063,works_in_industry,Fevziye Erge,Fevziye Erge works in,security,works_in_industry_en_scale_500_exact_prefix
S00067_profession,S00067,profession,Abdulaziz Sarıkaya,Abdulaziz Sarıkaya works as a,Computer engineer,profession_en_scale_500_exact_prefix
S00067_born_in,S00067,born_in,Abdulaziz Sarıkaya,Abdulaziz Sarıkaya was born in,San Diego,born_in_en_scale_500_exact_prefix
S00067_lives_in,S00067,lives_in,Abdulaziz Sarıkaya,Abdulaziz Sarıkaya currently lives in,Dallas,lives_in_en_scale_500_exact_prefix
S00067_field_of_study,S00067,field_of_study,Abdulaziz Sarıkaya,Abdulaziz Sarıkaya studied,dental studies,field_of_study_en_scale_500_exact_prefix
S00067_works_in_industry,S00067,works_in_industry,Abdulaziz Sarıkaya,Abdulaziz Sarıkaya works in,energy,works_in_industry_en_scale_500_exact_prefix
S00084_profession,S00084,profession,Audrie Flanagan,Audrie Flanagan works as a,Dentist,profession_en_scale_500_exact_prefix
S00084_born_in,S00084,born_in,Audrie Flanagan,Audrie Flanagan was born in,Antalya,born_in_en_scale_500_exact_prefix
S00084_lives_in,S00084,lives_in,Audrie Flanagan,Audrie Flanagan currently lives in,Mersin,lives_in_en_scale_500_exact_prefix
S00084_field_of_study,S00084,field_of_study,Audrie Flanagan,Audrie Flanagan studied,fiscal studies,field_of_study_en_scale_500_exact_prefix
S00084_works_in_industry,S00084,works_in_industry,Audrie Flanagan,Audrie Flanagan works in,fabrication,works_in_industry_en_scale_500_exact_prefix
S00089_profession,S00089,profession,Colette Peterson,Colette Peterson works as a,Psychiatrist,profession_en_scale_500_exact_prefix
S00089_born_in,S00089,born_in,Colette Peterson,Colette Peterson was born in,Jersey City,born_in_en_scale_500_exact_prefix
S00089_lives_in,S00089,lives_in,Colette Peterson,Colette Peterson currently lives in,Anchorage,lives_in_en_scale_500_exact_prefix
S00089_field_of_study,S00089,field_of_study,Colette Peterson,Colette Peterson studied,social care,field_of_study_en_scale_500_exact_prefix
S00089_works_in_industry,S00089,works_in_industry,Colette Peterson,Colette Peterson works in,catering,works_in_industry_en_scale_500_exact_prefix
S00100_profession,S00100,profession,Clarie Irvin,Clarie Irvin works as a,Renewable energy engineer,profession_en_scale_500_exact_prefix
S00100_born_in,S00100,born_in,Clarie Irvin,Clarie Irvin was born in,North Las Vegas,born_in_en_scale_500_exact_prefix
S00100_lives_in,S00100,lives_in,Clarie Irvin,Clarie Irvin currently lives in,Raleigh,lives_in_en_scale_500_exact_prefix
S00100_field_of_study,S00100,field_of_study,Clarie Irvin,Clarie Irvin studied,construction,field_of_study_en_scale_500_exact_prefix
S00100_works_in_industry,S00100,works_in_industry,Clarie Irvin,Clarie Irvin works in,fashion,works_in_industry_en_scale_500_exact_prefix
S00118_profession,S00118,profession,Kriste Sullivan,Kriste Sullivan works as a,Public relations specialist,profession_en_scale_500_exact_prefix
S00118_born_in,S00118,born_in,Kriste Sullivan,Kriste Sullivan was born in,San Diego,born_in_en_scale_500_exact_prefix
S00118_lives_in,S00118,lives_in,Kriste Sullivan,Kriste Sullivan currently lives in,Manisa,lives_in_en_scale_500_exact_prefix
S00118_field_of_study,S00118,field_of_study,Kriste Sullivan,Kriste Sullivan studied,medicine,field_of_study_en_scale_500_exact_prefix
S00118_works_in_industry,S00118,works_in_industry,Kriste Sullivan,Kriste Sullivan works in,construction,works_in_industry_en_scale_500_exact_prefix
S00125_profession,S00125,profession,Krystyna Lara,Krystyna Lara works as a,Management consultant,profession_en_scale_500_exact_prefix
S00125_born_in,S00125,born_in,Krystyna Lara,Krystyna Lara was born in,Istanbul,born_in_en_scale_500_exact_prefix
S00125_lives_in,S00125,lives_in,Krystyna Lara,Krystyna Lara currently lives in,Aydin,lives_in_en_scale_500_exact_prefix
S00125_field_of_study,S00125,field_of_study,Krystyna Lara,Krystyna Lara studied,cultural analysis,field_of_study_en_scale_500_exact_prefix
S00125_works_in_industry,S00125,works_in_industry,Krystyna Lara,Krystyna Lara works in,trade,works_in_industry_en_scale_500_exact_prefix
S00134_profession,S00134,profession,Tessy Huffman,Tessy Huffman works as a,Sailor,profession_en_scale_500_exact_prefix
S00134_born_in,S00134,born_in,Tessy Huffman,Tessy Huffman was born in,Tampa,born_in_en_scale_500_exact_prefix
S00134_lives_in,S00134,lives_in,Tessy Huffman,Tessy Huffman currently lives in,Houston,lives_in_en_scale_500_exact_prefix
S00134_field_of_study,S00134,field_of_study,Tessy Huffman,Tessy Huffman studied,geography,field_of_study_en_scale_500_exact_prefix
S00134_works_in_industry,S00134,works_in_industry,Tessy Huffman,Tessy Huffman works in,maritime,works_in_industry_en_scale_500_exact_prefix
S00135_profession,S00135,profession,Chicky Roth,Chicky Roth works as a,Physicist,profession_en_scale_500_exact_prefix
S00135_born_in,S00135,born_in,Chicky Roth,Chicky Roth was born in,Mugla,born_in_en_scale_500_exact_prefix
S00135_lives_in,S00135,lives_in,Chicky Roth,Chicky Roth currently lives in,Chesapeake,lives_in_en_scale_500_exact_prefix
S00135_field_of_study,S00135,field_of_study,Chicky Roth,Chicky Roth studied,animal care,field_of_study_en_scale_500_exact_prefix
S00135_works_in_industry,S00135,works_in_industry,Chicky Roth,Chicky Roth works in,energy,works_in_industry_en_scale_500_exact_prefix
S00142_profession,S00142,profession,Renie Flores,Renie Flores works as a,Fashion designer,profession_en_scale_500_exact_prefix
S00142_born_in,S00142,born_in,Renie Flores,Renie Flores was born in,Istanbul,born_in_en_scale_500_exact_prefix
S00142_lives_in,S00142,lives_in,Renie Flores,Renie Flores currently lives in,Honolulu,lives_in_en_scale_500_exact_prefix
S00142_field_of_study,S00142,field_of_study,Renie Flores,Renie Flores studied,philosophy,field_of_study_en_scale_500_exact_prefix
S00142_works_in_industry,S00142,works_in_industry,Renie Flores,Renie Flores works in,entertainment,works_in_industry_en_scale_500_exact_prefix
S00164_profession,S00164,profession,Deloria Whitehead,Deloria Whitehead works as a,Editor,profession_en_scale_500_exact_prefix
S00164_born_in,S00164,born_in,Deloria Whitehead,Deloria Whitehead was born in,Adana,born_in_en_scale_500_exact_prefix
S00164_lives_in,S00164,lives_in,Deloria Whitehead,Deloria Whitehead currently lives in,Afyonkarahisar,lives_in_en_scale_500_exact_prefix
S00164_field_of_study,S00164,field_of_study,Deloria Whitehead,Deloria Whitehead studied,software,field_of_study_en_scale_500_exact_prefix
S00164_works_in_industry,S00164,works_in_industry,Deloria Whitehead,Deloria Whitehead works in,communications,works_in_industry_en_scale_500_exact_prefix
S00182_profession,S00182,profession,Desirae Lindsey,Desirae Lindsey works as a,Ship captain,profession_en_scale_500_exact_prefix
S00182_born_in,S00182,born_in,Desirae Lindsey,Desirae Lindsey was born in,Bursa,born_in_en_scale_500_exact_prefix
S00182_lives_in,S00182,lives_in,Desirae Lindsey,Desirae Lindsey currently lives in,Aydin,lives_in_en_scale_500_exact_prefix
S00182_field_of_study,S00182,field_of_study,Desirae Lindsey,Desirae Lindsey studied,linguistics,field_of_study_en_scale_500_exact_prefix
S00182_works_in_industry,S00182,works_in_industry,Desirae Lindsey,Desirae Lindsey works in,electrical,works_in_industry_en_scale_500_exact_prefix
S00187_profession,S00187,profession,Remziye Kalkan,Remziye Kalkan works as a,Electrician,profession_en_scale_500_exact_prefix
S00187_born_in,S00187,born_in,Remziye Kalkan,Remziye Kalkan was born in,Sacramento,born_in_en_scale_500_exact_prefix
S00187_lives_in,S00187,lives_in,Remziye Kalkan,Remziye Kalkan currently lives in,Philadelphia,lives_in_en_scale_500_exact_prefix
S00187_field_of_study,S00187,field_of_study,Remziye Kalkan,Remziye Kalkan studied,social care,field_of_study_en_scale_500_exact_prefix
S00187_works_in_industry,S00187,works_in_industry,Remziye Kalkan,Remziye Kalkan works in,books,works_in_industry_en_scale_500_exact_prefix
S00193_profession,S00193,profession,Tierney Sterling,Tierney Sterling works as a,Journalist,profession_en_scale_500_exact_prefix
S00193_born_in,S00193,born_in,Tierney Sterling,Tierney Sterling was born in,Detroit,born_in_en_scale_500_exact_prefix
S00193_lives_in,S00193,lives_in,Tierney Sterling,Tierney Sterling currently lives in,Eskisehir,lives_in_en_scale_500_exact_prefix
S00193_field_of_study,S00193,field_of_study,Tierney Sterling,Tierney Sterling studied,exercise science,field_of_study_en_scale_500_exact_prefix
S00193_works_in_industry,S00193,works_in_industry,Tierney Sterling,Tierney Sterling works in,architecture,works_in_industry_en_scale_500_exact_prefix
S00231_profession,S00231,profession,Mumun Asıg,Mumun Asıg works as a,Politician,profession_en_scale_500_exact_prefix
S00231_born_in,S00231,born_in,Mumun Asıg,Mumun Asıg was born in,Detroit,born_in_en_scale_500_exact_prefix
S00231_lives_in,S00231,lives_in,Mumun Asıg,Mumun Asıg currently lives in,Virginia Beach,lives_in_en_scale_500_exact_prefix
S00231_field_of_study,S00231,field_of_study,Mumun Asıg,Mumun Asıg studied,computing,field_of_study_en_scale_500_exact_prefix
S00231_works_in_industry,S00231,works_in_industry,Mumun Asıg,Mumun Asıg works in,insurance,works_in_industry_en_scale_500_exact_prefix
S00238_profession,S00238,profession,Barbabra Mcbride,Barbabra Mcbride works as a,DJ,profession_en_scale_500_exact_prefix
S00238_born_in,S00238,born_in,Barbabra Mcbride,Barbabra Mcbride was born in,Houston,born_in_en_scale_500_exact_prefix
S00238_lives_in,S00238,lives_in,Barbabra Mcbride,Barbabra Mcbride currently lives in,Colorado Springs,lives_in_en_scale_500_exact_prefix
S00238_field_of_study,S00238,field_of_study,Barbabra Mcbride,Barbabra Mcbride studied,statistics,field_of_study_en_scale_500_exact_prefix
S00238_works_in_industry,S00238,works_in_industry,Barbabra Mcbride,Barbabra Mcbride works in,biotech,works_in_industry_en_scale_500_exact_prefix
S00248_profession,S00248,profession,Maisie Silva,Maisie Silva works as a,Footballer,profession_en_scale_500_exact_prefix
S00248_born_in,S00248,born_in,Maisie Silva,Maisie Silva was born in,Manisa,born_in_en_scale_500_exact_prefix
S00248_lives_in,S00248,lives_in,Maisie Silva,Maisie Silva currently lives in,Kocaeli,lives_in_en_scale_500_exact_prefix
S00248_field_of_study,S00248,field_of_study,Maisie Silva,Maisie Silva studied,electricity,field_of_study_en_scale_500_exact_prefix
S00248_works_in_industry,S00248,works_in_industry,Maisie Silva,Maisie Silva works in,arts,works_in_industry_en_scale_500_exact_prefix
S00252_profession,S00252,profession,Eda Aydemir,Eda Aydemir works as a,Courier,profession_en_scale_500_exact_prefix
S00252_born_in,S00252,born_in,Eda Aydemir,Eda Aydemir was born in,Afyonkarahisar,born_in_en_scale_500_exact_prefix
S00252_lives_in,S00252,lives_in,Eda Aydemir,Eda Aydemir currently lives in,Kayseri,lives_in_en_scale_500_exact_prefix
S00252_field_of_study,S00252,field_of_study,Eda Aydemir,Eda Aydemir studied,design,field_of_study_en_scale_500_exact_prefix
S00252_works_in_industry,S00252,works_in_industry,Eda Aydemir,Eda Aydemir works in,architecture,works_in_industry_en_scale_500_exact_prefix
S00268_profession,S00268,profession,Feride Sabaz,Feride Sabaz works as a,Entrepreneur,profession_en_scale_500_exact_prefix
S00268_born_in,S00268,born_in,Feride Sabaz,Feride Sabaz was born in,Istanbul,born_in_en_scale_500_exact_prefix
S00268_lives_in,S00268,lives_in,Feride Sabaz,Feride Sabaz currently lives in,Hatay,lives_in_en_scale_500_exact_prefix
S00268_field_of_study,S00268,field_of_study,Feride Sabaz,Feride Sabaz studied,governance,field_of_study_en_scale_500_exact_prefix
S00268_works_in_industry,S00268,works_in_industry,Feride Sabaz,Feride Sabaz works in,welfare,works_in_industry_en_scale_500_exact_prefix
S00273_profession,S00273,profession,Diane-Marie Kerr,Diane-Marie Kerr works as a,Entrepreneur,profession_en_scale_500_exact_prefix
S00273_born_in,S00273,born_in,Diane-Marie Kerr,Diane-Marie Kerr was born in,Anaheim,born_in_en_scale_500_exact_prefix
S00273_lives_in,S00273,lives_in,Diane-Marie Kerr,Diane-Marie Kerr currently lives in,Philadelphia,lives_in_en_scale_500_exact_prefix
S00273_field_of_study,S00273,field_of_study,Diane-Marie Kerr,Diane-Marie Kerr studied,marketing,field_of_study_en_scale_500_exact_prefix
S00273_works_in_industry,S00273,works_in_industry,Diane-Marie Kerr,Diane-Marie Kerr works in,fabrication,works_in_industry_en_scale_500_exact_prefix
S00277_profession,S00277,profession,Bekir Tazeoğlu,Bekir Tazeoğlu works as a,Fashion designer,profession_en_scale_500_exact_prefix
S00277_born_in,S00277,born_in,Bekir Tazeoğlu,Bekir Tazeoğlu was born in,Portland,born_in_en_scale_500_exact_prefix
S00277_lives_in,S00277,lives_in,Bekir Tazeoğlu,Bekir Tazeoğlu currently lives in,North Las Vegas,lives_in_en_scale_500_exact_prefix
S00277_field_of_study,S00277,field_of_study,Bekir Tazeoğlu,Bekir Tazeoğlu studied,software,field_of_study_en_scale_500_exact_prefix
S00277_works_in_industry,S00277,works_in_industry,Bekir Tazeoğlu,Bekir Tazeoğlu works in,hotels,works_in_industry_en_scale_500_exact_prefix
S00295_profession,S00295,profession,Tuncay Eren,Tuncay Eren works as a,Fashion designer,profession_en_scale_500_exact_prefix
S00295_born_in,S00295,born_in,Tuncay Eren,Tuncay Eren was born in,Washington,born_in_en_scale_500_exact_prefix
S00295_lives_in,S00295,lives_in,Tuncay Eren,Tuncay Eren currently lives in,Minneapolis,lives_in_en_scale_500_exact_prefix
S00295_field_of_study,S00295,field_of_study,Tuncay Eren,Tuncay Eren studied,chemistry,field_of_study_en_scale_500_exact_prefix
S00295_works_in_industry,S00295,works_in_industry,Tuncay Eren,Tuncay Eren works in,retail,works_in_industry_en_scale_500_exact_prefix
S00303_profession,S00303,profession,Erdem Gürbostan,Erdem Gürbostan works as a,Scientist,profession_en_scale_500_exact_prefix
S00303_born_in,S00303,born_in,Erdem Gürbostan,Erdem Gürbostan was born in,Ankara,born_in_en_scale_500_exact_prefix
S00303_lives_in,S00303,lives_in,Erdem Gürbostan,Erdem Gürbostan currently lives in,Adana,lives_in_en_scale_500_exact_prefix
S00303_field_of_study,S00303,field_of_study,Erdem Gürbostan,Erdem Gürbostan studied,anthropology,field_of_study_en_scale_500_exact_prefix
S00303_works_in_industry,S00303,works_in_industry,Erdem Gürbostan,Erdem Gürbostan works in,waste,works_in_industry_en_scale_500_exact_prefix
S00311_profession,S00311,profession,Meltem Kazbek,Meltem Kazbek works as a,Insurance advisor,profession_en_scale_500_exact_prefix
S00311_born_in,S00311,born_in,Meltem Kazbek,Meltem Kazbek was born in,Orlando,born_in_en_scale_500_exact_prefix
S00311_lives_in,S00311,lives_in,Meltem Kazbek,Meltem Kazbek currently lives in,Tucson,lives_in_en_scale_500_exact_prefix
S00311_field_of_study,S00311,field_of_study,Meltem Kazbek,Meltem Kazbek studied,tourism,field_of_study_en_scale_500_exact_prefix
S00311_works_in_industry,S00311,works_in_industry,Meltem Kazbek,Meltem Kazbek works in,timber,works_in_industry_en_scale_500_exact_prefix
S00326_profession,S00326,profession,Kerim Başdaş,Kerim Başdaş works as a,Social media manager,profession_en_scale_500_exact_prefix
S00326_born_in,S00326,born_in,Kerim Başdaş,Kerim Başdaş was born in,Ankara,born_in_en_scale_500_exact_prefix
S00326_lives_in,S00326,lives_in,Kerim Başdaş,Kerim Başdaş currently lives in,Mardin,lives_in_en_scale_500_exact_prefix
S00326_field_of_study,S00326,field_of_study,Kerim Başdaş,Kerim Başdaş studied,psychology,field_of_study_en_scale_500_exact_prefix
S00326_works_in_industry,S00326,works_in_industry,Kerim Başdaş,Kerim Başdaş works in,biotech,works_in_industry_en_scale_500_exact_prefix
S00343_profession,S00343,profession,Sinan Erge,Sinan Erge works as a,Writer,profession_en_scale_500_exact_prefix
S00343_born_in,S00343,born_in,Sinan Erge,Sinan Erge was born in,San Francisco,born_in_en_scale_500_exact_prefix
S00343_lives_in,S00343,lives_in,Sinan Erge,Sinan Erge currently lives in,Columbus,lives_in_en_scale_500_exact_prefix
S00343_field_of_study,S00343,field_of_study,Sinan Erge,Sinan Erge studied,linguistics,field_of_study_en_scale_500_exact_prefix
S00343_works_in_industry,S00343,works_in_industry,Sinan Erge,Sinan Erge works in,books,works_in_industry_en_scale_500_exact_prefix
S00382_profession,S00382,profession,Bobbye Trujillo,Bobbye Trujillo works as a,Model,profession_en_scale_500_exact_prefix
S00382_born_in,S00382,born_in,Bobbye Trujillo,Bobbye Trujillo was born in,Stockton,born_in_en_scale_500_exact_prefix
S00382_lives_in,S00382,lives_in,Bobbye Trujillo,Bobbye Trujillo currently lives in,Richmond,lives_in_en_scale_500_exact_prefix
S00382_field_of_study,S00382,field_of_study,Bobbye Trujillo,Bobbye Trujillo studied,media studies,field_of_study_en_scale_500_exact_prefix
S00382_works_in_industry,S00382,works_in_industry,Bobbye Trujillo,Bobbye Trujillo works in,property,works_in_industry_en_scale_500_exact_prefix
S00389_profession,S00389,profession,Scarlett Connell,Scarlett Connell works as a,Bus driver,profession_en_scale_500_exact_prefix
S00389_born_in,S00389,born_in,Scarlett Connell,Scarlett Connell was born in,Mersin,born_in_en_scale_500_exact_prefix
S00389_lives_in,S00389,lives_in,Scarlett Connell,Scarlett Connell currently lives in,Seattle,lives_in_en_scale_500_exact_prefix
S00389_field_of_study,S00389,field_of_study,Scarlett Connell,Scarlett Connell studied,cultural analysis,field_of_study_en_scale_500_exact_prefix
S00389_works_in_industry,S00389,works_in_industry,Scarlett Connell,Scarlett Connell works in,groceries,works_in_industry_en_scale_500_exact_prefix
S00401_profession,S00401,profession,Reyhan Sevimli,Reyhan Sevimli works as a,Courier,profession_en_scale_500_exact_prefix
S00401_born_in,S00401,born_in,Reyhan Sevimli,Reyhan Sevimli was born in,Kahramanmaras,born_in_en_scale_500_exact_prefix
S00401_lives_in,S00401,lives_in,Reyhan Sevimli,Reyhan Sevimli currently lives in,Izmir,lives_in_en_scale_500_exact_prefix
S00401_field_of_study,S00401,field_of_study,Reyhan Sevimli,Reyhan Sevimli studied,medicine,field_of_study_en_scale_500_exact_prefix
S00401_works_in_industry,S00401,works_in_industry,Reyhan Sevimli,Reyhan Sevimli works in,infrastructure,works_in_industry_en_scale_500_exact_prefix
S00404_profession,S00404,profession,Marquita Cannon,Marquita Cannon works as a,Nurse,profession_en_scale_500_exact_prefix
S00404_born_in,S00404,born_in,Marquita Cannon,Marquita Cannon was born in,Mersin,born_in_en_scale_500_exact_prefix
S00404_lives_in,S00404,lives_in,Marquita Cannon,Marquita Cannon currently lives in,Ordu,lives_in_en_scale_500_exact_prefix
S00404_field_of_study,S00404,field_of_study,Marquita Cannon,Marquita Cannon studied,philosophy,field_of_study_en_scale_500_exact_prefix
S00404_works_in_industry,S00404,works_in_industry,Marquita Cannon,Marquita Cannon works in,fashion,works_in_industry_en_scale_500_exact_prefix
S00409_profession,S00409,profession,Tiena Caron,Tiena Caron works as a,Meteorologist,profession_en_scale_500_exact_prefix
S00409_born_in,S00409,born_in,Tiena Caron,Tiena Caron was born in,Adana,born_in_en_scale_500_exact_prefix
S00409_lives_in,S00409,lives_in,Tiena Caron,Tiena Caron currently lives in,Atlanta,lives_in_en_scale_500_exact_prefix
S00409_field_of_study,S00409,field_of_study,Tiena Caron,Tiena Caron studied,medicine,field_of_study_en_scale_500_exact_prefix
S00409_works_in_industry,S00409,works_in_industry,Tiena Caron,Tiena Caron works in,biotech,works_in_industry_en_scale_500_exact_prefix
S00416_profession,S00416,profession,Ray Wheeler,Ray Wheeler works as a,Finance specialist,profession_en_scale_500_exact_prefix
S00416_born_in,S00416,born_in,Ray Wheeler,Ray Wheeler was born in,Austin,born_in_en_scale_500_exact_prefix
S00416_lives_in,S00416,lives_in,Ray Wheeler,Ray Wheeler currently lives in,San Antonio,lives_in_en_scale_500_exact_prefix
S00416_field_of_study,S00416,field_of_study,Ray Wheeler,Ray Wheeler studied,communication,field_of_study_en_scale_500_exact_prefix
S00416_works_in_industry,S00416,works_in_industry,Ray Wheeler,Ray Wheeler works in,government,works_in_industry_en_scale_500_exact_prefix
S00418_profession,S00418,profession,Bobine Connolly,Bobine Connolly works as a,Film director,profession_en_scale_500_exact_prefix
S00418_born_in,S00418,born_in,Bobine Connolly,Bobine Connolly was born in,Istanbul,born_in_en_scale_500_exact_prefix
S00418_lives_in,S00418,lives_in,Bobine Connolly,Bobine Connolly currently lives in,Adana,lives_in_en_scale_500_exact_prefix
S00418_field_of_study,S00418,field_of_study,Bobine Connolly,Bobine Connolly studied,nursing,field_of_study_en_scale_500_exact_prefix
S00418_works_in_industry,S00418,works_in_industry,Bobine Connolly,Bobine Connolly works in,groceries,works_in_industry_en_scale_500_exact_prefix
S00422_profession,S00422,profession,Anthe Bryant,Anthe Bryant works as a,Warehouse manager,profession_en_scale_500_exact_prefix
S00422_born_in,S00422,born_in,Anthe Bryant,Anthe Bryant was born in,Tekirdag,born_in_en_scale_500_exact_prefix
S00422_lives_in,S00422,lives_in,Anthe Bryant,Anthe Bryant currently lives in,Ankara,lives_in_en_scale_500_exact_prefix
S00422_field_of_study,S00422,field_of_study,Anthe Bryant,Anthe Bryant studied,teaching,field_of_study_en_scale_500_exact_prefix
S00422_works_in_industry,S00422,works_in_industry,Anthe Bryant,Anthe Bryant works in,communications,works_in_industry_en_scale_500_exact_prefix
S00444_profession,S00444,profession,Melia Binnetoğlu,Melia Binnetoğlu works as a,DJ,profession_en_scale_500_exact_prefix
S00444_born_in,S00444,born_in,Melia Binnetoğlu,Melia Binnetoğlu was born in,San Francisco,born_in_en_scale_500_exact_prefix
S00444_lives_in,S00444,lives_in,Melia Binnetoğlu,Melia Binnetoğlu currently lives in,Baton Rouge,lives_in_en_scale_500_exact_prefix
S00444_field_of_study,S00444,field_of_study,Melia Binnetoğlu,Melia Binnetoğlu studied,management,field_of_study_en_scale_500_exact_prefix
S00444_works_in_industry,S00444,works_in_industry,Melia Binnetoğlu,Melia Binnetoğlu works in,energy,works_in_industry_en_scale_500_exact_prefix
S00447_profession,S00447,profession,Ali Bozkurt,Ali Bozkurt works as a,Scientist,profession_en_scale_500_exact_prefix
S00447_born_in,S00447,born_in,Ali Bozkurt,Ali Bozkurt was born in,San Diego,born_in_en_scale_500_exact_prefix
S00447_lives_in,S00447,lives_in,Ali Bozkurt,Ali Bozkurt currently lives in,Irvine,lives_in_en_scale_500_exact_prefix
S00447_field_of_study,S00447,field_of_study,Ali Bozkurt,Ali Bozkurt studied,physics,field_of_study_en_scale_500_exact_prefix
S00447_works_in_industry,S00447,works_in_industry,Ali Bozkurt,Ali Bozkurt works in,accounting,works_in_industry_en_scale_500_exact_prefix
S00452_profession,S00452,profession,Birsen Talan,Birsen Talan works as a,Police officer,profession_en_scale_500_exact_prefix
S00452_born_in,S00452,born_in,Birsen Talan,Birsen Talan was born in,Izmir,born_in_en_scale_500_exact_prefix
S00452_lives_in,S00452,lives_in,Birsen Talan,Birsen Talan currently lives in,Istanbul,lives_in_en_scale_500_exact_prefix
S00452_field_of_study,S00452,field_of_study,Birsen Talan,Birsen Talan studied,forestry,field_of_study_en_scale_500_exact_prefix
S00452_works_in_industry,S00452,works_in_industry,Birsen Talan,Birsen Talan works in,textiles,works_in_industry_en_scale_500_exact_prefix
S00481_profession,S00481,profession,Mert Özgüner,Mert Özgüner works as a,Lawyer,profession_en_scale_500_exact_prefix
S00481_born_in,S00481,born_in,Mert Özgüner,Mert Özgüner was born in,Mersin,born_in_en_scale_500_exact_prefix
S00481_lives_in,S00481,lives_in,Mert Özgüner,Mert Özgüner currently lives in,Diyarbakir,lives_in_en_scale_500_exact_prefix
S00481_field_of_study,S00481,field_of_study,Mert Özgüner,Mert Özgüner studied,business,field_of_study_en_scale_500_exact_prefix
S00481_works_in_industry,S00481,works_in_industry,Mert Özgüner,Mert Özgüner works in,space,works_in_industry_en_scale_500_exact_prefix
S00494_profession,S00494,profession,Lanita Pate,Lanita Pate works as a,Mechanical engineer,profession_en_scale_500_exact_prefix
S00494_born_in,S00494,born_in,Lanita Pate,Lanita Pate was born in,Antalya,born_in_en_scale_500_exact_prefix
S00494_lives_in,S00494,lives_in,Lanita Pate,Lanita Pate currently lives in,Kahramanmaras,lives_in_en_scale_500_exact_prefix
S00494_field_of_study,S00494,field_of_study,Lanita Pate,Lanita Pate studied,history,field_of_study_en_scale_500_exact_prefix
S00494_works_in_industry,S00494,works_in_industry,Lanita Pate,Lanita Pate works in,extraction,works_in_industry_en_scale_500_exact_prefix
S00496_profession,S00496,profession,Molli Easley,Molli Easley works as a,Plumber,profession_en_scale_500_exact_prefix
S00496_born_in,S00496,born_in,Molli Easley,Molli Easley was born in,San Jose,born_in_en_scale_500_exact_prefix
S00496_lives_in,S00496,lives_in,Molli Easley,Molli Easley currently lives in,Anaheim,lives_in_en_scale_500_exact_prefix
